total instructions scanned: 13961732
Unsupported/PANIC decode hits: 14918
distinct opcodes:             7743
decode() PANIC hits:          0

distinct unsupported/panic opcodes by instance count:
  0ea00a44  x10   first@0x105907800
  1e230420  x10   first@0x102fcf694
  4ea00b46  x10   first@0x105907878
  6ea1d801  x10   first@0x1033910dc
  4f051a9c  x10   first@0x10595d1a4
  0e4c0d4d  x10   first@0x1058a06e4
  0e4d0d4c  x10   first@0x1058a06ec
  4e4d0d4c  x10   first@0x10589ee7c
  1ee13800  x10   first@0x1059e62dc
  4e21cab5  x10   first@0x1058e45c4
  4f05121c  x10   first@0x10595d17c
  6e227421  x9   first@0x1056b1840
  4e2178a7  x9   first@0x105861bac
  0ec13400  x9   first@0x10597dd98
  4e21ca73  x9   first@0x1058eff90
  4f001990  x9   first@0x105959c30
  4e710e10  x9   first@0x1056a74d4
  4f0177ff  x9   first@0x10589da60
  4ea1d93f  x9   first@0x1034928e0
  2e221421  x9   first@0x1056ae09c
  7ea4d463  x9   first@0x1031f1ad0
  0ea0fa07  x9   first@0x103ad5bfc
  6e210400  x8   first@0x105bcead8
  4e217800  x8   first@0x10586dbc8
  6e433c41  x8   first@0x1059eb604
  4e217b9c  x8   first@0x1059d3400
  4e217b5a  x8   first@0x1059d32e0
  6e403c20  x8   first@0x1059eb600
  4e3ffd28  x8   first@0x10589e640
  4e21794a  x8   first@0x1059d45cc
  1ee03821  x8   first@0x1059e6cf8
  4f001a5e  x8   first@0x1059665ec
  0e5f0f7e  x8   first@0x105897124
  4ec11400  x8   first@0x1059cffb4
  4e5f0f7e  x8   first@0x105894d04
  2e321606  x8   first@0x105bd091c
  0e430c24  x8   first@0x10597cc00
  0e450c46  x8   first@0x105a23e7c
  4ec00420  x8   first@0x1059f0aac
  4f041a9e  x8   first@0x10595cc4c
  4e61f400  x8   first@0x104f1d4b4
  2e210400  x8   first@0x105b8b130
  4f00129c  x8   first@0x1059664cc
  7ea3d484  x8   first@0x10307da2c
  4e217a70  x8   first@0x105860e20
  7ea8d400  x8   first@0x1037f8f04
  4e217af4  x8   first@0x105860e18
  7ea0d422  x8   first@0x10349f0ec
  4ec30441  x8   first@0x1059f0ab0
  0e79d98c  x8   first@0x1058a06b8
  4e40354a  x8   first@0x10589eea4
  1ee11801  x8   first@0x1059eb740
  0e40354a  x8   first@0x1058a0714
  4e4e0d6f  x8   first@0x10589f3fc
  1ee13801  x8   first@0x1059e63dc
  4f001ade  x8   first@0x1059663cc
  2f0015c0  x8   first@0x102fc45d4
  0e4e0d6f  x8   first@0x1058a1078
  0ec11400  x8   first@0x1059daafc
  4ec01420  x8   first@0x1059e629c
  4ec31441  x8   first@0x1059e62a0
  1e210460  x7   first@0x102e76868
  1e674000  x7   first@0x1050e40d4
  4f061a9d  x7   first@0x10595d1a8
  4e217908  x7   first@0x1059d3704
  0e411400  x7   first@0x1058966a4
  4f0010de  x7   first@0x1059650c0
  4f011040  x7   first@0x10596b0e0
  4f04121e  x7   first@0x10595cbfc
  4e21ca94  x7   first@0x1058edba8
  4e740e73  x7   first@0x10569b09c
  4f001a9d  x7   first@0x10595ee44
  4f001a9e  x7   first@0x1059664d4
  0e460c45  x7   first@0x105903e24
  4e21c821  x7   first@0x1055e363c
  4e22fc00  x7   first@0x1057e5a90
  4e4e0daf  x7   first@0x10589ef58
  4f06121d  x7   first@0x10595d180
  4e4034a5  x7   first@0x10586f410
  4f001218  x7   first@0x105965ba4
  6e433c03  x7   first@0x1058a7970
  1ee02842  x7   first@0x1059cf2b8
  1ee21822  x7   first@0x1058a799c
  4e5e17bd  x7   first@0x1059022ac
  7ea1d402  x7   first@0x10307da00
  0f0010de  x7   first@0x105970e10
  1e220500  x7   first@0x10448062c
  0e423421  x7   first@0x1058babd0
  4e21fc02  x7   first@0x1057e5a88
  0e4e0daf  x7   first@0x1058a07c4
  0ea0fa10  x7   first@0x1033e329c
  0e5e0f7f  x6   first@0x105897130
  0e4f0d6e  x6   first@0x1058a1080
  4e4e0d6d  x6   first@0x10589f39c
  2e351616  x6   first@0x105bcf92c
  6e247461  x6   first@0x1056b1908
  6e367650  x6   first@0x1056b078c
  1e220420  x6   first@0x103a2f338
  4e4d0d6e  x6   first@0x10589f394
  6e357631  x6   first@0x1056b0784
  4e21797f  x6   first@0x1059d380c
  4e217863  x6   first@0x10586bb94
  0ea00a26  x6   first@0x1037ff7bc
  7ea0d421  x6   first@0x1033cfee4
  4e4f0d6e  x6   first@0x10589f404
  6e347634  x6   first@0x1056b0780
  7ea3d443  x6   first@0x103498f98
  6e6334a5  x6   first@0x105b8ae30
  6e633483  x6   first@0x105b8ae34
  0e79d96b  x6   first@0x1058a0490
  2e341637  x6   first@0x105bcf930
  6e277487  x6   first@0x1056b05cc
  4f0177fd  x6   first@0x1058e5164
  4ea1d822  x6   first@0x10348832c
  4e760eb4  x6   first@0x105bcf9e8
  4ecc056c  x6   first@0x10589ef44
  6e387651  x6   first@0x1056b079c
  6e267486  x6   first@0x1056b05c8
  0e4e0d6d  x6   first@0x1058a1018
  4f02129e  x6   first@0x105965100
  2e3114e5  x6   first@0x105bd0918
  7ea2d400  x6   first@0x1031eef6c
  4e2178b1  x6   first@0x105a076c0
  4e650e17  x6   first@0x105bcf9dc
  4e730e51  x6   first@0x105bd09cc
  6e377653  x6   first@0x1056b0794
  0e79d863  x6   first@0x10597cbd4
  4e660e26  x6   first@0x105bd09d8
  7ea2d463  x6   first@0x10307da18
  4e21a800  x6   first@0x10332f7dc
  4e770e52  x6   first@0x105bcf9ec
  2e3214b3  x6   first@0x105bd0910
  2e351671  x6   first@0x105bcf938
  4e2178f3  x6   first@0x105a076d0
  4e720e31  x6   first@0x1056955dc
  6e267606  x6   first@0x1056b1a14
  4f011111  x6   first@0x105959bec
  6e397650  x6   first@0x1056b07a4
  0e433442  x6   first@0x105a23d64
  4f02121e  x6   first@0x10595cadc
  0ea00a31  x6   first@0x1032f3578
  6ea1d843  x6   first@0x10345d9e4
  4e710e91  x6   first@0x105bcf9f4
  6e307484  x6   first@0x1056b05d0
  4f011991  x6   first@0x105959c34
  1e250420  x6   first@0x104bf829c
  4e660e10  x6   first@0x105bcf9e0
  4e5e0f7d  x6   first@0x105894c94
  0f001218  x6   first@0x105969140
  0e5d0f7e  x6   first@0x1058970ac
  0ecc056c  x6   first@0x1058a07b4
  4e450c24  x6   first@0x105a20bbc
  4e4d0c5c  x6   first@0x105901dbc
  4e450c81  x6   first@0x105903610
  4f0177fc  x6   first@0x1058e9ebc
  4e2178d2  x6   first@0x105a076c4
  4e2bfdac  x6   first@0x1058e46f4
  4ee2e002  x6   first@0x10627cf74
  2e3114d4  x6   first@0x105bd0914
  4e5e0f7f  x6   first@0x105894d10
  2e231442  x6   first@0x1056af69c
  6e307630  x6   first@0x1056b0770
  0e5e0f7d  x6   first@0x1058970b4
  4e670e16  x6   first@0x105bcf9d8
  6e257485  x6   first@0x1056b05c0
  4e5d0f7e  x6   first@0x105894c8c
  0e490c6f  x6   first@0x10596c800
  1ee20863  x6   first@0x1059ec080
  2e341650  x6   first@0x105bcf934
  4e22fc23  x6   first@0x103488334
  4f1a3422  x6   first@0x1056a76fc
  1e220460  x6   first@0x1038bc14c
  4ea1d9ab  x6   first@0x1058e46f0
  7ea1d463  x6   first@0x10348b810
  6e662e31  x6   first@0x1056c2848
  4f01121f  x6   first@0x1059654dc
  6e647463  x6   first@0x105b8ae28
  0e4d0d6e  x6   first@0x1058a1010
  4ea1d840  x5   first@0x1058b429c
  4ecb158b  x5   first@0x10589ee54
  0ea0fa31  x5   first@0x1033dd290
  0ef8f8a5  x5   first@0x1058a07f0
  0e4c0dca  x5   first@0x1058a0700
  4ee5e065  x5   first@0x10627d190
  0f02129e  x5   first@0x105970e50
  4e217a18  x5   first@0x105864d7c
  4e79c842  x5   first@0x10585fa64
  4f041298  x5   first@0x105964f4c
  4f05121f  x5   first@0x10595cc00
  4e21fc00  x5   first@0x1058a33c4
  4f01127f  x5   first@0x1059667c0
  7ea0d444  x5   first@0x1032908b4
  4ec134a5  x5   first@0x10586f414
  4f011aff  x5   first@0x1059667dc
  6f021411  x5   first@0x1031ec4fc
  6e2774a5  x5   first@0x1056911f8
  4e3cfffd  x5   first@0x1058e4f08
  7ea0d442  x5   first@0x10348b7fc
  4f01123e  x5   first@0x1059650e0
  4f0177e1  x5   first@0x10597b354
  4e40377b  x5   first@0x105894ba0
  4f051a9f  x5   first@0x10595cc50
  4e217929  x5   first@0x1059cf820
  4e4a0d6b  x5   first@0x10589ee98
  4ea00e10  x5   first@0x1056a3288
  4f1a3420  x5   first@0x1056958f0
  4e200a80  x5   first@0x10627cd10
  4f051a9e  x5   first@0x10595e8d0
  4e20fc41  x5   first@0x1058b42a0
  4f061a9f  x5   first@0x10595e844
  0e4034a5  x5   first@0x1058a0660
  4f03121f  x5   first@0x10595cae0
  4e3affdb  x5   first@0x1058e4f04
  0e4a0c8b  x5   first@0x1058a06b0
  4e41156a  x5   first@0x10589ee9c
  4e3affbb  x5   first@0x1058e6a68
  4f0012de  x5   first@0x105966724
  4f0112bd  x5   first@0x105966754
  0e43354a  x5   first@0x1058a06a8
  4e4e0c7c  x5   first@0x105901de4
  0f041a9c  x5   first@0x1059691e0
  4f1a36e0  x5   first@0x1056958b0
  4e43354a  x5   first@0x10589ee3c
  0e4a0d6b  x5   first@0x1058a0708
  7ea1d541  x5   first@0x103d96368
  0ea00a73  x5   first@0x1036df7c0
  4f0112ff  x5   first@0x1059666f0
  4e217a3a  x5   first@0x105864dbc
  0e40377b  x5   first@0x105896fc0
  4e423421  x5   first@0x1058baa6c
  0f011040  x5   first@0x10596b500
  2ecb258b  x5   first@0x1058a06bc
  0ea0f801  x5   first@0x10304cff8
  4f011a7f  x5   first@0x105966708
  6ecb258b  x5   first@0x10589ee4c
  6ea1d822  x5   first@0x1057dbe6c
  0e4a0cec  x5   first@0x1058a06d4
  4e4c0dca  x5   first@0x10589ee90
  4e38ff99  x5   first@0x1058e6a64
  4ea1dbda  x5   first@0x1058e4efc
  4f00125e  x5   first@0x1059667f8
  0ea00af7  x5   first@0x1044318c0
  4e4a0cec  x5   first@0x10589ee64
  4f031a9e  x5   first@0x10595cbb4
  4e2178d0  x5   first@0x105861bb0
  4ea1dbba  x5   first@0x1058e6a60
  0f041298  x5   first@0x1059691d0
  6e267484  x5   first@0x1056913e0
  6e221421  x5   first@0x1056aea0c
  4f041a9f  x5   first@0x10595cbb8
  0e41156a  x5   first@0x1058a070c
  6e387610  x5   first@0x1056b0a4c
  1e290420  x5   first@0x10331afdc
  4f03121e  x5   first@0x10595cb6c
  0f01123e  x5   first@0x105970e30
  4f031a9f  x5   first@0x10595cb28
  4f06121e  x5   first@0x10595e920
  4e217884  x5   first@0x10586d3b0
  4ea1db98  x5   first@0x1058e6a5c
  4f04121f  x5   first@0x10595cb70
  4ea1dbe8  x5   first@0x103493884
  4f021a9e  x5   first@0x10595cb24
  6e2474b1  x5   first@0x1056b911c
  1ee02048  x5   first@0x1058d365c
  0ea00a94  x5   first@0x1032f358c
  4e5c17ff  x5   first@0x10596682c
  4ea1dbfc  x5   first@0x1058e4f00
  4f011a3d  x5   first@0x105966774
  4f05121e  x5   first@0x10595e888
  4f071a9f  x5   first@0x10595e8d4
  4f06121f  x5   first@0x10595e7fc
  4e4a0c8b  x5   first@0x10589ee40
  0ecb158b  x5   first@0x1058a06c4
  4e503400  x5   first@0x1058d28f4
  4f061a9e  x5   first@0x10595e970
  6f021412  x5   first@0x1031ec500
  4f07121f  x5   first@0x10595e88c
  0ea0fa73  x5   first@0x1033dd2bc
  0ea00ad6  x4   first@0x102fd7004
  4ee4e067  x4   first@0x10627d198
  1ee01820  x4   first@0x1059ce750
  4ed03400  x4   first@0x105a1e4b4
  4e217a38  x4   first@0x105860e3c
  6e3876d0  x4   first@0x1056b0a94
  4f0210d8  x4   first@0x10596df7c
  4f011a5f  x4   first@0x10596503c
  6f001437  x4   first@0x1058a32a4
  7ea0d520  x4   first@0x103d96340
  4f011238  x4   first@0x105968fb0
  0e412883  x4   first@0x1056948b0
  0f031278  x4   first@0x1059691b0
  4ef8c843  x4   first@0x1058d30f8
  4e4a15aa  x4   first@0x10589eecc
  6e357635  x4   first@0x1056b0a38
  4e217a48  x4   first@0x105860e1c
  4e5c0f5d  x4   first@0x105894bf8
  4ea1dbdb  x4   first@0x1058e9bec
  0f031a7c  x4   first@0x1059691c0
  4f0610e2  x4   first@0x105a07d70
  4f061adc  x4   first@0x105969070
  6e377632  x4   first@0x1056b0a50
  4e540d3c  x4   first@0x105901ecc
  4e217ac9  x4   first@0x105864da4
  4f0512b8  x4   first@0x105969040
  4e770ed6  x4   first@0x10569b228
  6e3976f9  x4   first@0x1056b0a9c
  0e550e54  x4   first@0x1058a6148
  0f021a5c  x4   first@0x105969198
  4e5f0f88  x4   first@0x1058952b0
  4f011130  x4   first@0x105959a8c
  6e3476f4  x4   first@0x1056b0a98
  4e2178a6  x4   first@0x105861b0c
  0e5a0efb  x4   first@0x1058a626c
  4e403529  x4   first@0x10589ee04
  6e3576f5  x4   first@0x1056b0aa8
  4e430c41  x4   first@0x105903630
  4e32fe93  x4   first@0x1058b4114
  0e5b1421  x4   first@0x10596c84c
  0f0712f8  x4   first@0x105969234
  4e217aa7  x4   first@0x105860e10
  4f021258  x4   first@0x105968fd8
  4f00121d  x4   first@0x10595ee14
  4f01121e  x4   first@0x105964ecc
  4f031a7c  x4   first@0x105969010
  4e28fffc  x4   first@0x103493894
  4e3efd3f  x4   first@0x1058e313c
  4f0177f7  x4   first@0x105893f48
  6e327612  x4   first@0x1056b0a28
  4f06121c  x4   first@0x10595d1cc
  6e397631  x4   first@0x1056b0a64
  4f001914  x4   first@0x105959a7c
  0e4a15aa  x4   first@0x1058a073c
  4e460e5e  x4   first@0x105902f70
  4e217ab9  x4   first@0x105864d8c
  4f031170  x4   first@0x105959adc
  4e63f421  x4   first@0x1050f9fb4
  4e4e0c5d  x4   first@0x105901dc0
  0e403529  x4   first@0x1058a0670
  4e3cfd1d  x4   first@0x1058e3138
  4e490cbd  x4   first@0x10593cac4
  4e4d0fc5  x4   first@0x10589ef54
  0f071afc  x4   first@0x105969244
  4f031974  x4   first@0x105959aec
  4f001025  x4   first@0x10598ad10
  4e430c24  x4   first@0x105a20b3c
  0ee4e063  x4   first@0x10627d19c
  0f0110b8  x4   first@0x10596e2e0
  4ef8e843  x4   first@0x105a09e04
